symbol,open_time,open,high,low,close,volume
SUIUSDT,2024-06-23 23:00:00,0.8868,0.8868,0.8776,0.8811,907384.2
SUIUSDT,2024-06-24 00:00:00,0.8812,0.8885,0.8756,0.8839,1229690.5
SUIUSDT,2024-06-24 01:00:00,0.8834,0.8836,0.8671,0.873,1477448.2
SUIUSDT,2024-06-24 02:00:00,0.8728,0.8728,0.8546,0.8605,1052359.1
SUIUSDT,2024-06-24 03:00:00,0.8606,0.87,0.8542,0.8561,1912099.4
SUIUSDT,2024-06-24 04:00:00,0.856,0.86,0.8502,0.8565,852536.0
SUIUSDT,2024-06-24 05:00:00,0.8565,0.8582,0.8323,0.8345,2348293.0
SUIUSDT,2024-06-24 06:00:00,0.8344,0.8395,0.8328,0.8374,1369665.8
SUIUSDT,2024-06-24 07:00:00,0.8373,0.8425,0.83,0.8346,1950281.6
SUIUSDT,2024-06-24 08:00:00,0.8348,0.8466,0.8193,0.8386,3043566.8
SUIUSDT,2024-06-24 09:00:00,0.8385,0.8531,0.8075,0.8497,4549286.7
SUIUSDT,2024-06-24 10:00:00,0.8496,0.8626,0.8483,0.8524,1978316.3
SUIUSDT,2024-06-24 11:00:00,0.8521,0.8582,0.843,0.8566,1114508.8
SUIUSDT,2024-06-24 12:00:00,0.8562,0.8737,0.8557,0.8719,1637242.3
SUIUSDT,2024-06-24 13:00:00,0.8718,0.8718,0.8573,0.8689,1137462.0
SUIUSDT,2024-06-24 14:00:00,0.8685,0.8697,0.8488,0.8533,985676.8
SUIUSDT,2024-06-24 15:00:00,0.8539,0.8563,0.8411,0.8454,997543.7
SUIUSDT,2024-06-24 16:00:00,0.8454,0.8609,0.8431,0.858,1659009.8
SUIUSDT,2024-06-24 17:00:00,0.858,0.8742,0.849,0.8578,4230533.6
SUIUSDT,2024-06-24 18:00:00,0.8577,0.8634,0.8494,0.8613,1030069.4
SUIUSDT,2024-06-24 19:00:00,0.8614,0.8672,0.8395,0.8452,4348166.8
SUIUSDT,2024-06-24 20:00:00,0.8451,0.8526,0.8302,0.8473,2108793.9
SUIUSDT,2024-06-24 21:00:00,0.8474,0.8892,0.8471,0.8882,2858290.9
SUIUSDT,2024-06-24 22:00:00,0.8882,0.8962,0.887,0.8884,1603527.7
SUIUSDT,2024-06-24 23:00:00,0.8884,0.8987,0.888,0.8949,763428.4
SUIUSDT,2024-06-25 00:00:00,0.8949,0.8985,0.8887,0.8967,710594.9
SUIUSDT,2024-06-25 01:00:00,0.8967,0.903,0.893,0.8972,733073.5
SUIUSDT,2024-06-25 02:00:00,0.8974,0.9011,0.8879,0.8912,909199.5
SUIUSDT,2024-06-25 03:00:00,0.8913,0.907,0.8898,0.8998,1657259.8
SUIUSDT,2024-06-25 04:00:00,0.9,0.9056,0.8988,0.903,761051.0
SUIUSDT,2024-06-25 05:00:00,0.903,0.9053,0.8926,0.8947,582305.6
SUIUSDT,2024-06-25 06:00:00,0.8948,0.8961,0.8893,0.8933,549156.9
SUIUSDT,2024-06-25 07:00:00,0.8934,0.8983,0.8842,0.8848,838944.0
SUIUSDT,2024-06-25 08:00:00,0.8848,0.8877,0.8695,0.8747,1139874.6
SUIUSDT,2024-06-25 09:00:00,0.8745,0.8919,0.8734,0.8874,1092702.5
SUIUSDT,2024-06-25 10:00:00,0.8873,0.8889,0.8826,0.8842,844770.2
SUIUSDT,2024-06-25 11:00:00,0.8841,0.8912,0.8838,0.8851,649640.5
SUIUSDT,2024-06-25 12:00:00,0.8852,0.8896,0.8795,0.8805,1574494.3
SUIUSDT,2024-06-25 13:00:00,0.8805,0.8837,0.8768,0.879,1279081.7
SUIUSDT,2024-06-25 14:00:00,0.8794,0.898,0.8785,0.8919,1466228.8
SUIUSDT,2024-06-25 15:00:00,0.892,0.901,0.8876,0.899,1127573.5
SUIUSDT,2024-06-25 16:00:00,0.8992,0.9014,0.8796,0.8804,2381542.3
SUIUSDT,2024-06-25 17:00:00,0.8805,0.8884,0.8715,0.8718,1850207.0
SUIUSDT,2024-06-25 18:00:00,0.8721,0.8873,0.8711,0.8869,812323.9
SUIUSDT,2024-06-25 19:00:00,0.8872,0.8907,0.8836,0.8864,650587.9
SUIUSDT,2024-06-25 20:00:00,0.8865,0.8873,0.8813,0.8815,279357.8
SUIUSDT,2024-06-25 21:00:00,0.8816,0.8831,0.8792,0.8807,315416.9
SUIUSDT,2024-06-25 22:00:00,0.8809,0.8879,0.879,0.8795,549491.1
SUIUSDT,2024-06-25 23:00:00,0.8796,0.88,0.8744,0.8785,468998.2
SUIUSDT,2024-06-26 00:00:00,0.8783,0.8818,0.8712,0.8728,550351.0
SUIUSDT,2024-06-26 01:00:00,0.8729,0.8882,0.87,0.8861,858337.1
SUIUSDT,2024-06-26 02:00:00,0.8866,0.8905,0.8782,0.8785,763271.5
SUIUSDT,2024-06-26 03:00:00,0.8784,0.8806,0.8706,0.8712,715408.0
SUIUSDT,2024-06-26 04:00:00,0.8711,0.8732,0.8598,0.8604,1113491.6
SUIUSDT,2024-06-26 05:00:00,0.8606,0.8638,0.8546,0.8562,840206.8
SUIUSDT,2024-06-26 06:00:00,0.8559,0.8586,0.8544,0.8558,563381.7
SUIUSDT,2024-06-26 07:00:00,0.8558,0.8597,0.8524,0.8554,1279983.9
SUIUSDT,2024-06-26 08:00:00,0.8553,0.8562,0.845,0.8462,2451331.2
SUIUSDT,2024-06-26 09:00:00,0.8462,0.8508,0.8435,0.85,887056.5
SUIUSDT,2024-06-26 10:00:00,0.8499,0.851,0.8439,0.8464,479940.1
SUIUSDT,2024-06-26 11:00:00,0.8466,0.8494,0.844,0.8466,526737.9
SUIUSDT,2024-06-26 12:00:00,0.8466,0.8477,0.843,0.8463,789549.7
SUIUSDT,2024-06-26 13:00:00,0.8461,0.8588,0.8458,0.8545,1488947.7
SUIUSDT,2024-06-26 14:00:00,0.8548,0.8568,0.8436,0.8441,857189.2
SUIUSDT,2024-06-26 15:00:00,0.8443,0.8451,0.831,0.8319,1712975.6
SUIUSDT,2024-06-26 16:00:00,0.8319,0.8346,0.827,0.8329,656360.4
SUIUSDT,2024-06-26 17:00:00,0.8328,0.8331,0.8201,0.8313,1103317.8
SUIUSDT,2024-06-26 18:00:00,0.8314,0.8328,0.827,0.8278,326691.5
SUIUSDT,2024-06-26 19:00:00,0.8278,0.8345,0.8254,0.8345,626806.6
SUIUSDT,2024-06-26 20:00:00,0.8346,0.8416,0.8305,0.8366,507140.4
SUIUSDT,2024-06-26 21:00:00,0.8367,0.8442,0.8367,0.8415,733798.4
SUIUSDT,2024-06-26 22:00:00,0.8416,0.8424,0.8331,0.8348,412428.5
SUIUSDT,2024-06-26 23:00:00,0.8348,0.8351,0.8289,0.8297,490944.7
SUIUSDT,2024-06-27 00:00:00,0.8296,0.8362,0.8259,0.833,541997.0
SUIUSDT,2024-06-27 01:00:00,0.8332,0.8422,0.8296,0.8372,465828.5
SUIUSDT,2024-06-27 02:00:00,0.8372,0.8408,0.8344,0.8371,661490.0
SUIUSDT,2024-06-27 03:00:00,0.8369,0.8399,0.8343,0.8366,239022.3
SUIUSDT,2024-06-27 04:00:00,0.8367,0.8411,0.8364,0.8383,263730.4
SUIUSDT,2024-06-27 05:00:00,0.8386,0.8395,0.8266,0.8301,539947.4
SUIUSDT,2024-06-27 06:00:00,0.8301,0.8321,0.8257,0.8293,551235.4
SUIUSDT,2024-06-27 07:00:00,0.8293,0.8382,0.8284,0.8356,620273.1
SUIUSDT,2024-06-27 08:00:00,0.8356,0.8357,0.831,0.8343,491769.2
SUIUSDT,2024-06-27 09:00:00,0.8341,0.8392,0.8309,0.8378,784986.8
SUIUSDT,2024-06-27 10:00:00,0.8379,0.8424,0.8342,0.8343,751769.9
SUIUSDT,2024-06-27 11:00:00,0.8342,0.8413,0.8332,0.8379,446094.2
SUIUSDT,2024-06-27 12:00:00,0.838,0.8511,0.8371,0.8499,1111922.1
SUIUSDT,2024-06-27 13:00:00,0.8499,0.8641,0.8494,0.8618,2066594.4
SUIUSDT,2024-06-27 14:00:00,0.8617,0.8714,0.8579,0.8582,968082.6
SUIUSDT,2024-06-27 15:00:00,0.8585,0.8611,0.8498,0.8505,738067.3
SUIUSDT,2024-06-27 16:00:00,0.8507,0.8548,0.8498,0.8507,686477.7
SUIUSDT,2024-06-27 17:00:00,0.8507,0.8545,0.8461,0.8461,546499.2
SUIUSDT,2024-06-27 18:00:00,0.8461,0.8476,0.8419,0.8443,994892.6
SUIUSDT,2024-06-27 19:00:00,0.8444,0.8446,0.8347,0.835,677445.0
SUIUSDT,2024-06-27 20:00:00,0.8354,0.8367,0.8315,0.8366,547715.9
SUIUSDT,2024-06-27 21:00:00,0.8367,0.8401,0.8348,0.8387,447466.8
SUIUSDT,2024-06-27 22:00:00,0.8388,0.8402,0.8361,0.8385,411268.2
SUIUSDT,2024-06-27 23:00:00,0.8384,0.8391,0.8345,0.8368,468738.4
SUIUSDT,2024-06-28 00:00:00,0.8368,0.839,0.8265,0.8286,881877.9
SUIUSDT,2024-06-28 01:00:00,0.8285,0.8448,0.8269,0.8398,1008921.6
SUIUSDT,2024-06-28 02:00:00,0.8399,0.8413,0.8292,0.8311,673195.5
SUIUSDT,2024-06-28 03:00:00,0.8312,0.833,0.8287,0.8298,513414.5
SUIUSDT,2024-06-28 04:00:00,0.8297,0.8309,0.8265,0.8286,600843.6
SUIUSDT,2024-06-28 05:00:00,0.8288,0.8288,0.8226,0.8242,563334.8
SUIUSDT,2024-06-28 06:00:00,0.8243,0.827,0.8229,0.8268,387260.4
SUIUSDT,2024-06-28 07:00:00,0.8268,0.8293,0.8221,0.8284,684193.9
SUIUSDT,2024-06-28 08:00:00,0.8283,0.8293,0.8232,0.8255,549590.8
SUIUSDT,2024-06-28 09:00:00,0.8255,0.8262,0.82,0.823,1005809.4
SUIUSDT,2024-06-28 10:00:00,0.823,0.8267,0.8217,0.8257,465692.7
SUIUSDT,2024-06-28 11:00:00,0.8254,0.8302,0.8237,0.8264,555622.5
SUIUSDT,2024-06-28 12:00:00,0.8264,0.8333,0.823,0.8235,1105335.6
SUIUSDT,2024-06-28 13:00:00,0.8236,0.8304,0.812,0.8217,1848995.5
SUIUSDT,2024-06-28 14:00:00,0.8214,0.826,0.8126,0.8176,828541.7
SUIUSDT,2024-06-28 15:00:00,0.8176,0.822,0.8113,0.8173,782051.7
SUIUSDT,2024-06-28 16:00:00,0.8173,0.8196,0.8002,0.809,1368795.9
SUIUSDT,2024-06-28 17:00:00,0.8088,0.8089,0.7873,0.7942,2302695.2
SUIUSDT,2024-06-28 18:00:00,0.7944,0.7957,0.7909,0.7933,749696.3
SUIUSDT,2024-06-28 19:00:00,0.7935,0.7979,0.7902,0.7959,626360.1
SUIUSDT,2024-06-28 20:00:00,0.7964,0.8012,0.7959,0.7968,537455.1
SUIUSDT,2024-06-28 21:00:00,0.797,0.7971,0.7864,0.7942,716287.4
SUIUSDT,2024-06-28 22:00:00,0.7942,0.7953,0.7911,0.793,380688.4
SUIUSDT,2024-06-28 23:00:00,0.793,0.7932,0.7897,0.7908,354686.9
SUIUSDT,2024-06-29 00:00:00,0.7907,0.8016,0.7898,0.8001,717188.3
SUIUSDT,2024-06-29 01:00:00,0.8,0.8059,0.7996,0.8032,418232.9
SUIUSDT,2024-06-29 02:00:00,0.8032,0.8048,0.7983,0.7987,394220.0
SUIUSDT,2024-06-29 03:00:00,0.7987,0.8013,0.7977,0.8,272404.4
SUIUSDT,2024-06-29 04:00:00,0.7999,0.8013,0.7982,0.7984,243038.4
SUIUSDT,2024-06-29 05:00:00,0.7986,0.799,0.792,0.7946,730223.1
SUIUSDT,2024-06-29 06:00:00,0.7945,0.7968,0.7932,0.7949,284475.3
SUIUSDT,2024-06-29 07:00:00,0.7949,0.804,0.7949,0.8026,607509.9
SUIUSDT,2024-06-29 08:00:00,0.8027,0.8058,0.8013,0.8026,645804.6
SUIUSDT,2024-06-29 09:00:00,0.8028,0.8034,0.799,0.8015,917005.4
SUIUSDT,2024-06-29 10:00:00,0.8015,0.803,0.7978,0.7994,470723.8
SUIUSDT,2024-06-29 11:00:00,0.7993,0.8041,0.7985,0.8005,515333.9
SUIUSDT,2024-06-29 12:00:00,0.8003,0.8007,0.7966,0.7983,463015.0
SUIUSDT,2024-06-29 13:00:00,0.7983,0.8002,0.7953,0.7967,439819.6
SUIUSDT,2024-06-29 14:00:00,0.7967,0.7992,0.7956,0.7985,332151.6
SUIUSDT,2024-06-29 15:00:00,0.7985,0.8036,0.7968,0.7998,440535.7
SUIUSDT,2024-06-29 16:00:00,0.7997,0.8001,0.7958,0.7971,342297.7
SUIUSDT,2024-06-29 17:00:00,0.7971,0.7983,0.7956,0.7958,277371.5
SUIUSDT,2024-06-29 18:00:00,0.7958,0.7976,0.794,0.7961,397769.7
SUIUSDT,2024-06-29 19:00:00,0.7959,0.7976,0.7898,0.7953,420803.8
SUIUSDT,2024-06-29 20:00:00,0.7951,0.797,0.7918,0.7922,379361.7
SUIUSDT,2024-06-29 21:00:00,0.7921,0.7927,0.787,0.7898,390738.3
SUIUSDT,2024-06-29 22:00:00,0.7898,0.7904,0.78,0.7831,775942.1
SUIUSDT,2024-06-29 23:00:00,0.7832,0.7865,0.7812,0.7825,427715.8
